element1,element2,energy,direct
Tm,Cu,3.3403,False
Cd,Cu,0.0,False
Na,Sb,3.3978,False
Ag,Y,4.382,False
Cd,Mn,2.5333,True
Sc,Tl,0.0,False
Al,Ag,2.8537,True
Mo,Rb,2.5454,True
Ta,Au,0.4857,False
Ag,Mo,1.5402,True
Li,Y,5.441000000000001,True
Na,Gd,5.0572,True
Cd,Cr,0.0,False
Y,Pd,0.7541,False
Pd,Pt,0.0,False
Ga,Ag,1.4734999999999998,True
Li,Lu,6.2932,True
Ag,V,0.0,False
La,Cu,2.9353,False
Ge,Pt,0.0,False
Tl,Sb,2.1999,True
Ba,Cr,2.5591,False
K,Sc,3.7562,False
Ti,Hg,0.0,False
Ba,V,4.1606,False
Dy,Cu,3.4207,False
Pt,V,1.9899,False
Sc,Au,3.4579,False
Ca,Co,0.0,False
Tm,Ag,4.1627,False
Fe,Pb,3.0192000000000005,False
Ca,Hg,3.1224999999999996,False
Zn,Co,3.4574,False
Sn,V,3.4659999999999997,False
Sn,Pb,2.0297,True
Zn,Cd,0.0,False
In,Au,2.6171,True
K,Mo,2.4794,False
Pb,Ti,2.2632000000000003,False
Sm,Cu,3.4944999999999995,False
Na,Yb,6.1813,True
K,Tl,2.8878,False
Ag,Sc,3.9078999999999997,False
Na,Ta,0.0,False
Cd,Sn,2.134,False
Hg,Sb,0.0,False
Pd,Tl,0.0,False
Rb,Y,5.8727,False
K,Mo,2.4839,True
Cr,Pt,1.8475,True
Li,Bi,4.062,False
Ca,Pb,4.892,False
Ni,Sr,3.7673,False
Fe,Sr,0.0,False
Fe,K,0.0,False
Er,Ag,4.1845,False
K,Mn,0.29279999999999995,False
Ag,Au,0.6519999999999999,False
Na,Ga,3.4090000000000003,True
Fe,Mn,0.0,False
As,Au,1.3875000000000002,False
Na,Ru,0.0,False
Ni,Sn,1.6860000000000002,False
Ca,Cd,4.7201,True
Na,Mo,2.3928000000000003,True
Fe,Na,0.0,False
Sc,Ag,3.9080999999999997,False
Co,Sn,2.0503,False
Ca,Fe,0.0,False
Co,Hg,0.0,False
Li,Tm,6.179799999999999,True
Ba,Sn,0.0,False
Tb,Ag,4.2129,False
Hg,As,0.0,False
Al,K,5.4838000000000005,True
In,Na,3.7376,True
Mg,Pd,2.0661,False
Na,Y,5.6484000000000005,True
Rb,In,4.3847000000000005,False
Tl,As,1.8306,True
Tl,In,3.1431999999999998,False
Ce,Cu,3.3059,False
Rh,Au,1.6216999999999997,False
K,Pd,0.5403000000000001,False
Rb,As,3.7843999999999998,False
Na,U,1.7046000000000001,True
In,Cu,0.5684999999999998,True
Ag,Pd,0.0,False
Ge,Ti,2.2292999999999994,False
Fe,Sn,0.0,False
Na,Eu,6.068499999999999,True
Ag,Mn,0.0,False
Na,La,5.3950000000000005,True
Ca,Pd,1.5132999999999999,False
Cr,Fe,0.0,False
Ag,In,1.5548,True
Cd,Ge,2.1323,False
Ag,Bi,2.1652,False
Ba,Pt,2.4527,False
Na,Tb,6.1403,True
Eu,Cu,3.4403,False
Hg,Sn,0.7104999999999999,False
Na,Nd,5.8803,True
Na,Rh,1.6468,True
Na,Bi,4.1977,False
Pb,Zn,3.1213,False
Cu,Sn,0.0,False
Na,In,3.7455000000000003,True
Mn,Rb,0.7674000000000001,False
Ba,Pd,2.1378000000000004,False
Sr,Pb,4.8450999999999995,False
Na,Tm,6.191000000000001,True
Cd,Sr,4.9033,True
Na,Ti,0.0,False
Mg,Ti,0.0,False
Au,Bi,2.2205,False
Ga,Au,2.7531,False
K,Sb,3.6813000000000002,True
Li,Ta,0.0,False
Bi,Hg,0.0,False
Pd,Sr,2.0796,False
Rb,Tl,2.9124,False
Ba,Ge,0.0,False
Rb,Sc,5.0886,False
Li,Gd,4.869999999999999,True
Li,Dy,6.030600000000001,True
Lu,Ag,4.1304,False
Ca,Ti,0.0,False
Ag,Sb,1.6135000000000002,False
K,Nb,0.5352000000000001,False
Al,Au,4.0685,False
K,Y,5.8694999999999995,False
Sr,Ca,6.0927,False
Na,Dy,6.168699999999999,True
Sr,Zn,5.05,True
Ag,Co,0.0,False
Ag,Tl,0.0,False
Li,Tl,2.0463,True
Ba,Ni,3.5016,False
Gd,Ag,3.7988,False
In,Hg,0.0,False
Ag,Sb,1.6102,False
Na,Sc,4.850700000000001,True
Co,K,0.0,False
Hg,Mg,2.2187,True
Rb,Ga,4.1821,False
Au,Ni,0.0,False
Ca,Mn,5.2501,False
Li,Sm,5.782,True
In,Au,0.0,False
Pb,Pd,0.0,False
K,Cr,2.0972999999999997,True
Er,Cu,3.3665999999999996,False
Tl,As,1.6692,True
Rb,B,5.154999999999999,False
Al,Tl,4.3097,False
Dy,Ag,4.2097,False
Ge,Hg,0.7286000000000001,False
Ca,Ge,4.1234,True
Ba,Cd,5.0154,False
Cr,Na,1.8954,True
Ba,Ca,6.0197,False
Rb,Al,5.4898,True
Li,Ce,5.6563,True
Bi,K,4.503,False
Pr,Cu,3.3392000000000004,False
Ba,Cu,1.8567,False
Na,Ce,5.8458,True
Sb,Au,0.3954,False
Hg,Zn,0.0,False
Sr,Ti,0.0,False
K,Ga,4.0256,True
Co,Cr,0.0,False
Hg,Pd,1.3024,False
Bi,Na,4.2187,False
Rb,Sb,3.6719,False
Mg,Sn,3.4737999999999998,False
Li,Sb,3.2771999999999997,False
Ge,Pb,2.3444,True
Au,Cr,1.6284,False
Pt,Sr,2.4495999999999998,False
Mn,Au,0.6807000000000001,False
Au,Rb,0.0,False
Ni,Tl,0.0,False
Cd,V,2.5679999999999996,False
Y,Cu,3.3776,False
Hg,Sb,0.0,False
Cu,Pt,0.0,False
Sn,Ti,0.0,False
In,Cu,1.3438,False
Na,Ni,0.0,False
Al,Rb,5.490600000000001,True
Ca,Pt,2.4678,False
Ir,Na,1.9037,True
In,Ag,1.5590999999999997,True
Ti,V,3.0248999999999997,False
Ir,K,2.2283,False
Cu,Bi,1.5592000000000001,False
Cd,Pt,1.9378000000000002,False
Na,Y,5.5789,True
Hg,Ru,0.0,False
Hg,Pt,0.30899999999999994,False
Sr,Be,5.5112000000000005,True
Na,Cr,1.9104,True
Na,Lu,6.2236,True
Ca,Zn,4.6281,True
Pt,Zn,2.5044999999999997,False
Na,Tl,2.3175,True
Hg,Pd,1.2488000000000001,False
Cr,Tl,0.0,False
Sr,Cr,2.4701,False
Li,Er,6.1103000000000005,True
In,K,4.3374999999999995,False
Au,Pd,0.0,False
Mn,Ni,2.5277,False
V,Zn,2.7874999999999996,False
Ti,Zn,0.0,False
Na,Ho,6.1779,True
Li,Pr,5.66,True
K,In,4.3123000000000005,True
Cr,V,2.0864000000000003,False
Sr,Ge,4.128699999999999,True
Li,Eu,5.8926,True
Sc,Cu,2.8813999999999993,False
Au,Co,0.0,False
Cu,Sb,1.2024,False
Sc,Tl,4.3101,False
Pd,Sn,0.0,False
Hg,Pb,1.7523999999999997,False
Ga,Tl,2.8614,False
Li,La,5.2309,True
K,Rh,1.9484,False
Cr,Mn,1.7946000000000002,False
K,B,5.0161,True
Ag,Ti,0.0,False
Au,Ru,0.5695000000000001,False
Cd,Pb,3.0776,False
Zn,Cr,1.4377999999999997,True
Na,Er,6.1953000000000005,True
Pt,Sn,0.0,False
Li,Tb,5.9783,True
Ge,V,3.3411,False
Pd,Rb,0.7756000000000001,False
Eu,Ag,4.1962,False
Ba,Be,5.0822,True
Na,Sc,4.8662,True
As,Na,3.374,False
Ca,Mg,6.0992999999999995,True
Sm,Ag,4.2241,False
Rb,Nb,0.4946999999999997,False
Mn,Ti,0.0,False
Mg,Pb,4.3472,False
Cd,Hg,0.0,False
Sn,Ge,2.6616,True
Li,Nb,0.0,False
Hg,Sr,3.2605,False
Rh,Tl,1.7854,False
Li,In,3.5353999999999997,True
Tl,B,4.058,False
Na,Pr,5.8455,True
Rb,As,3.6958,True
Co,Ge,2.8506,False
Ba,Mg,5.8373,False
Tl,V,0.0,False
Tl,Hg,0.0,False
Ti,Au,2.6378999999999997,False
Al,Tl,4.309799999999999,False
Ag,Ta,0.0,False
Na,Nb,0.36970000000000036,False
Rb,Ga,4.1584,True
Mg,Pt,2.4441,False
Cd,Ni,0.0,False
Hg,Sc,0.0,False
Ta,Cu,0.44030000000000014,True
Bi,Li,4.0678,False
Ca,Cr,2.4034,False
Sn,Zn,2.3225,False
Li,Sb,3.2925000000000004,False
Al,Na,4.9021,True
Ca,V,4.3688,False
Na,Sm,5.9604,True
Sr,Sn,4.0203,False
Na,Pd,0.0,False
Cd,Pd,0.9933000000000001,False
In,Li,3.5238,True
Sr,V,4.3111,False
Rb,Rh,1.7125,False
Ga,Na,3.3997,True
Ni,Rb,0.2703000000000002,False
Sc,Hg,0.0,False
Au,Tl,0.0,False
Mn,Na,0.4478,False
Na,V,0.0,False
K,Al,5.493600000000001,True
Co,Mn,0.0,False
Mn,Sr,5.208799999999999,False
Hg,In,0.0,False
Tl,Ga,2.8607,False
Li,Nd,5.6979999999999995,True
K,As,3.7432000000000003,True
Pd,Zn,1.4197000000000002,False
K,Ti,0.0471,False
Cu,Au,0.0,False
Tb,Cu,3.4308,False
Li,Pd,0.0,False
Ir,Tl,1.9250000000000003,False
K,As,3.7148,True
Mn,Tl,0.0,False
Mg,Mn,4.3399,True
Mn,V,3.5936000000000003,True
Ag,Ni,0.0,False
Li,Sc,4.6917,True
Au,Sb,1.5016,False
